"","Sample","Marker","A1.AFG1","A2.AFG1","A1.AFG9","A2.AFG9","A1.AFG15","A2.AFG15","A1.AFG1.M","A2.AFG1.M","A1.AFG4.M","A2.AFG4.M","A1.AFG6.M","A2.AFG6.M","A1.AFG8.M","A2.AFG8.M","A1.AFG9.M","A2.AFG9.M","A1.AFG45","A2.AFG45","A1.AFG46","A2.AFG46","A1.AFG48","A2.AFG48","A1.AFG49","A2.AFG49","A1.AFG50","A2.AFG50","A1.AFG51","A2.AFG51","A1.AFG58","A2.AFG58","A1.AFG60","A2.AFG60","error","numgenos","A1consens","A2consens","hom"
"254","PRBI363","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,NA,NA,FALSE,3,294,294,TRUE
"276","PRBI4","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,339,NA,NA,NA,NA,294,339,NA,NA,NA,NA,NA,NA,NA,NA,294,339,294,339,294,339,FALSE,5,294,339,FALSE
"298","PRBI465","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,FALSE,3,294,294,TRUE
"320","PRBI51","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,FALSE,3,294,294,TRUE
"342","PRBI71","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,294,335,FALSE,3,294,335,FALSE
"364","PRBI1","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,360,NA,NA,NA,NA,294,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,360,294,360,FALSE,4,294,360,FALSE
"386","PRBI10","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,NA,NA,NA,NA,294,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,294,335,FALSE,4,294,335,FALSE
"430","PRBI11","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,FALSE,4,294,294,TRUE
"452","PRBI110","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,351,TRUE,3,294,351,FALSE
"474","PRBI112","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,362,335,362,FALSE,3,335,362,FALSE
"496","PRBI113","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,FALSE,2,294,294,TRUE
"518","PRBI114","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362,364,362,364,FALSE,3,362,364,FALSE
"540","PRBI115","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,335,296,335,296,335,FALSE,4,296,335,FALSE
"562","PRBI116","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,345,294,345,FALSE,3,294,345,FALSE
"584","PRBI117","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,FALSE,3,294,294,TRUE
"606","PRBI118","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,FALSE,3,294,294,TRUE
"628","PRBI119","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,347,335,347,FALSE,3,335,347,FALSE
"650","PRBI12","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,FALSE,4,294,294,TRUE
"672","PRBI120","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,294,335,FALSE,3,294,335,FALSE
"694","PRBI121","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,347,294,347,FALSE,3,294,347,FALSE
"716","PRBI122","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,335,335,335,FALSE,3,335,335,TRUE
"738","PRBI123","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356,360,356,360,FALSE,3,356,360,FALSE
"760","PRBI13","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,FALSE,4,294,294,TRUE
"782","PRBI137","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,NA,NA,FALSE,2,294,294,TRUE
"804","PRBI138","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,335,294,335,TRUE,3,294,335,FALSE
"826","PRBI14","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,335,NA,NA,NA,NA,296,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,335,296,335,FALSE,4,296,335,FALSE
"848","PRBI147","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,294,296,FALSE,3,294,296,FALSE
"870","PRBI148","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354,364,354,364,354,364,FALSE,4,354,364,FALSE
"892","PRBI149","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,294,335,NA,NA,FALSE,3,294,335,FALSE
"914","PRBI15","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,335,335,TRUE
"936","PRBI150","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,294,335,FALSE,3,294,335,FALSE
"958","PRBI151","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354,360,354,360,FALSE,3,354,360,FALSE
"980","PRBI152","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,294,296,FALSE,3,294,296,FALSE
"1002","PRBI153","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,FALSE,3,294,294,TRUE
"1024","PRBI154","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,294,335,FALSE,3,294,335,FALSE
"1046","PRBI155","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,294,335,FALSE,3,294,335,FALSE
"1068","PRBI156","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,FALSE,2,294,294,TRUE
"1090","PRBI157","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,364,294,364,TRUE,3,294,364,FALSE
"1112","PRBI158","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,FALSE,2,294,294,TRUE
"1134","PRBI159","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,294,335,FALSE,3,294,335,FALSE
"1156","PRBI16","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358,358,NA,NA,FALSE,2,358,358,TRUE
"1178","PRBI160","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,FALSE,3,294,294,TRUE
"1200","PRBI164","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310,329,310,329,FALSE,3,310,329,FALSE
"1222","PRBI167","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,294,335,FALSE,3,294,335,FALSE
"1244","PRBI168","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,FALSE,2,294,294,TRUE
"1266","PRBI169","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,FALSE,3,294,294,TRUE
"1288","PRBI17","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,NA,NA,NA,NA,NA,1,294,296,FALSE
"1310","PRBI170","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,294,335,FALSE,3,294,335,FALSE
"1332","PRBI174","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,NA,NA,FALSE,3,294,294,TRUE
"1354","PRBI175","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,356,NA,NA,FALSE,2,294,356,FALSE
"1376","PRBI178","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,358,335,358,FALSE,3,335,358,FALSE
"1398","PRBI179","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,294,335,294,335,FALSE,4,294,335,FALSE
"1420","PRBI18","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,358,335,358,FALSE,3,335,358,FALSE
"1442","PRBI180","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,FALSE,3,294,294,TRUE
"1464","PRBI181","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,294,296,FALSE,3,294,296,FALSE
"1486","PRBI183","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,351,294,351,294,351,FALSE,4,294,351,FALSE
"1508","PRBI185","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,294,296,FALSE,3,294,296,FALSE
"1530","PRBI188","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,294,296,FALSE,3,294,296,FALSE
"1552","PRBI189","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,FALSE,3,294,294,TRUE
"1574","PRBI19","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,356,347,356,FALSE,3,347,356,FALSE
"1596","PRBI20","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,NA,NA,FALSE,2,294,296,FALSE
"1618","PRBI209","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,294,296,FALSE,3,294,296,FALSE
"1640","PRBI210","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,294,296,FALSE,3,294,296,FALSE
"1662","PRBI213","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,337,296,337,FALSE,3,296,337,FALSE
"1684","PRBI214","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,351,294,351,FALSE,3,294,351,FALSE
"1706","PRBI215","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,FALSE,3,294,294,TRUE
"1728","PRBI216","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,294,335,294,335,FALSE,4,294,335,FALSE
"1750","PRBI226","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,294,294,FALSE,4,294,294,TRUE
"1772","PRBI227","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,296,296,364,TRUE,3,296,364,FALSE
"1794","PRBI228","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,341,294,341,NA,NA,FALSE,3,294,341,FALSE
"1816","PRBI229","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,364,335,364,335,364,FALSE,4,335,364,FALSE
"1838","PRBI230","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,FALSE,3,294,294,TRUE
"1860","PRBI231","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,294,296,FALSE,3,294,296,FALSE
"1882","PRBI232","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,296,296,362,296,362,TRUE,4,296,362,FALSE
"1904","PRBI233","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,354,FALSE,2,294,354,FALSE
"1926","PRBI234","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,294,335,FALSE,3,294,335,FALSE
"1948","PRBI235","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,347,NA,NA,FALSE,2,294,347,FALSE
"1970","PRBI236","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,FALSE,3,294,294,TRUE
"1992","PRBI237","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,FALSE,3,294,294,TRUE
"2014","PRBI238","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,358,335,358,FALSE,3,335,358,FALSE
"2036","PRBI239","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,294,296,FALSE,3,294,296,FALSE
"2058","PRBI24","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,294,296,NA,NA,FALSE,3,294,296,FALSE
"2080","PRBI25","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,294,296,294,294,TRUE,4,294,296,FALSE
"2102","PRBI26","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,FALSE,2,294,294,TRUE
"2124","PRBI261","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,337,294,337,294,337,FALSE,3,294,337,FALSE
"2146","PRBI262","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,FALSE,3,294,294,TRUE
"2168","PRBI263","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,FALSE,3,294,294,TRUE
"2190","PRBI29","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,362,294,362,294,362,FALSE,4,294,362,FALSE
"2212","PRBI3","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,354,FALSE,2,335,354,FALSE
"2234","PRBI30","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,FALSE,3,294,294,TRUE
"2256","PRBI31","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,356,294,356,FALSE,3,294,356,FALSE
"2278","PRBI32","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,FALSE,3,294,294,TRUE
"2300","PRBI324","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,NA,NA,FALSE,2,294,335,FALSE
"2322","PRBI326","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,FALSE,3,294,294,TRUE
"2344","PRBI327","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,354,294,354,294,354,FALSE,4,294,354,FALSE
"2366","PRBI328","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,FALSE,3,294,294,TRUE
"2388","PRBI329","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,294,335,FALSE,3,294,335,FALSE
"2410","PRBI33","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,294,335,FALSE,3,294,335,FALSE
"2432","PRBI330","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,335,294,335,TRUE,4,294,335,FALSE
"2454","PRBI331","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,294,296,294,296,FALSE,4,294,296,FALSE
"2476","PRBI332","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,294,335,FALSE,3,294,335,FALSE
"2498","PRBI333","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,294,335,FALSE,3,294,335,FALSE
"2520","PRBI334","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,FALSE,3,294,294,TRUE
"2542","PRBI335","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,356,294,356,FALSE,3,294,356,FALSE
"2564","PRBI336","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,294,294,FALSE,2,294,294,TRUE
"2586","PRBI337","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,335,294,335,FALSE,3,294,335,FALSE
"2608","PRBI338","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,NA,NA,FALSE,2,294,296,FALSE
"2630","PRBI339","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,356,335,356,335,356,FALSE,4,335,356,FALSE
"2652","PRBI34","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,294,NA,NA,FALSE,2,294,294,TRUE
"2674","PRBI340","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,296,294,296,FALSE,3,294,296,FALSE
"2696","PRBI341","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,354,296,354,FALSE,3,296,354,FALSE
"2718","PRBI342","NNG_028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,337,294,337,FALSE,3,294,337,FALSE
